half_year,bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
2023 H1,20,1995,-0.05010101038372623,-0.0006514780543807404,-0.025826997047137954,0.0004798865728110162,0.01095983119655492,0.0002453761879492803,,
2023 H1,21,1995,-0.0006514780543807404,0.04609627442262165,0.02262415591002047,0.00021919251118022908,0.010686782631536162,0.0002392629901447024,,
2023 H1,22,1994,0.04609627442262165,0.09420897573051698,0.070415471559768,0.00010311819724959117,0.01192494220226036,0.0002670506908398839,,
2023 H1,23,1995,0.09420897573051698,0.1425079448269263,0.11843898104777745,0.0004594209798204182,0.011054073996452788,0.0002474861601346069,,
2023 H1,24,1995,0.1425079448269263,0.19322517411436582,0.1680404819320547,0.00028716971537980773,0.012482080706805516,0.0002794573498973186,,
2023 H1,25,1994,0.19322517411436582,0.2430985302532332,0.21839028175509154,-0.00021192870224894092,0.010881373061088294,0.0002436806941252365,,
2023 H1,26,1995,0.2430985302532332,0.29632923268229944,0.26974251572263447,0.00027653433405878876,0.010905768104137403,0.0002441657865034688,,
2023 H1,27,1995,0.29632923268229944,0.35119666511760794,0.3232139610480784,8.512934323059318e-05,0.011170565123364477,0.0002500942430638851,,
2023 H1,28,1994,0.35119666511760794,0.4097242390213684,0.3807736541253467,0.0006494693224642215,0.01186220830840136,0.0002656458094232724,,
2023 H1,29,1995,0.4097242390213684,0.4710240974836414,0.4401903563723416,0.00019762873586194298,0.01212222142369998,0.00027140057443216783,,
2023 H1,30,1994,0.4710240974836414,0.5352660813002479,0.5034975846953139,0.00010721443257037684,0.012240800780297028,0.0002741241214730661,,
2023 H1,31,1995,0.5352660813002479,0.6032383397264331,0.5691886362482592,0.00016943539904569602,0.012006855868222553,0.00026881769156508495,,
2023 H1,32,1995,0.6032383397264331,0.6777692898226451,0.6403729798019161,-0.0002519124393732234,0.01289475493549564,0.0002886965824443237,,
2023 H1,33,1994,0.6777692898226451,0.7588631695167777,0.7171650656219591,9.633789746936546e-05,0.011557089631024461,0.00025881289130932065,,
2023 H1,34,1995,0.7588631695167777,0.8512865740774491,0.8042815567829189,0.0004494535986182494,0.011755958242115136,0.0002632004241130904,,
