symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
FRONTUSDT,85,0.1851996896133108,0.1668068804634665,0.0021788198778036564,0.021394335409524064,0.49411764705882355,-0.03352729287891387,0.15021989044055228,0.0017652800564889619,0.022868171720947298
STOUSDT,39,0.18342758578590346,0.17354708508431635,0.004703271430407781,0.022404123120044427,0.6153846153846154,-0.06123919308357351,0.05925925925925912,0.0008099520259184648,0.02264935507650738
JASMYUSDT,212,0.18140114059607426,0.13552818612242615,0.0008556657575286521,0.020911012649023796,0.4716981132075472,-0.08010335917312661,0.10975760573831339,0.004402816140890117,0.02239913275334442
TRUUSDT,122,0.17785438641394724,0.09889751572812831,0.001457822839458584,0.03781269388596836,0.4098360655737705,-0.07580744702736064,0.2960288808664262,0.0025336960810782745,0.021961185023203954
DUSDT,27,0.17713749325588557,0.16111562817876027,0.0065606478983661325,0.03553143772593723,0.48148148148148145,-0.05167173252279633,0.14331723027375198,0.0005607360179435526,0.021872664162945726
BCHUSDT,271,0.16751451576869547,0.14800366616995617,0.0006181347445339316,0.012032705673098654,0.5018450184501845,-0.05571056062581492,0.05606711684059751,0.005628128180100102,0.020684433760922112
LOOMUSDT,187,0.15669041742256584,0.06288107021581782,0.0008379166707089083,0.031736255470421505,0.45989304812834225,-0.15759045132413285,0.14714525608732143,0.003883616124275716,0.01934789080979438
WRXUSDT,20,0.15554621472976926,0.14546998362721533,0.007777310736488463,0.0321937154582477,0.55,-0.04456440389178162,0.10569290281565813,0.0004153600132915204,0.019206606427962663
LTOUSDT,34,0.1548925287353221,0.14929460258115038,0.004555662609862415,0.017965498133085532,0.4411764705882353,-0.029000000000000026,0.050091074681238634,0.0007061120225955848,0.019125890290674272
LAZIOUSDT,45,0.14900302400074772,0.12633301272017589,0.003311178311127727,0.033641809784338,0.5333333333333333,-0.038158820756848844,0.20547085818394328,0.0009345600299059209,0.018398663339577376
BONKUSDT,412,0.14668502026332497,0.08225323722558947,0.00035603160258088583,0.01774998242157918,0.4684466019417476,-0.07802874743326482,0.07710843373493992,0.008556416273805321,0.018112439817130548
HOMEUSDT,47,0.14490999781203895,0.12910561248212643,0.0030831914428093394,0.026357283696663295,0.44680851063829785,-0.054491272882077446,0.09336535574902438,0.000976096031235073,0.017893262785520513
ALLOUSDT,106,0.14466915739811503,0.07531671644139687,0.0013648033716803305,0.03686469178906765,0.4528301886792453,-0.13819577735124755,0.21303841676367874,0.0022014080704450584,0.017863524183072226
CATIUSDT,42,0.14289422634413707,0.13928704494289987,0.003402243484384216,0.012810297678983847,0.6190476190476191,-0.04310993975903621,0.028160693186293884,0.0008722560279121929,0.01764435843706067
AUCTIONUSDT,47,0.14023303945994714,0.13099845508358104,0.002983681690637173,0.02013613492194118,0.5106382978723404,-0.041838538597524844,0.09677419354838701,0.000976096031235073,0.017315759189533562
ARKMUSDT,55,0.13831035588716234,0.12921890869093253,0.0025147337434029515,0.018434778100493206,0.4727272727272727,-0.022958223560406443,0.08326981707317072,0.0011422400365516813,0.017078349190632964
INITUSDT,14,0.13512561802865086,0.1294133358873515,0.009651829859189347,0.028580470934228372,0.5714285714285714,-0.01876247504990003,0.08909194745859517,0.00029075200930406427,0.01668510267717116
TNSRUSDT,73,0.13496312952426226,0.09893698520151627,0.0018488099934830446,0.03239781191773114,0.3698630136986301,-0.06061323546821362,0.14071661237785027,0.0015160640485140495,0.016665038847535178
KAITOUSDT,100,0.13325833929535158,0.11353861258368537,0.001332583392953516,0.01996449230749595,0.47,-0.06944888945785066,0.06594318923086062,0.002076800066457602,0.016454533982303912
KNCUSDT,25,0.13227201322569537,0.1287278395814367,0.005290880529027815,0.016541844194367997,0.48,-0.014238346011312575,0.0589500860585197,0.0005192000166144005,0.016332743962132495
NOTUSDT,204,0.13017873186825857,0.1038886036652,0.0006381310385698949,0.016167942914434425,0.4411764705882353,-0.045135827350212154,0.060124816073874765,0.0042366721355735085,0.016074268812189898
ATUSDT,107,0.1280689140432918,0.10885480076836442,0.001196905738722353,0.01876745373045628,0.5514018691588785,-0.11795166858458006,0.050880626223092085,0.0022221760711096344,0.015813751764769384
AVNTUSDT,88,0.12634068829899925,0.10670364779479338,0.0014356896397613552,0.021300516145540297,0.5,-0.05229503007280789,0.08246026011560681,0.0018275840584826898,0.015600353118283729
NOMUSDT,50,0.1260439214525111,0.04321257268849243,0.002520878429050222,0.059369537329149194,0.36,-0.12776831345826234,0.20310077519379854,0.001038400033228801,0.015563708806294086
CTXCUSDT,68,0.12369871836361945,0.10205001480582343,0.001819098799464992,0.025663707905528275,0.5147058823529411,-0.06463104325699753,0.11598224195338513,0.0014122240451911695,0.015274126749924292
SUNUSDT,59,0.12171077425047283,0.11079904514500943,0.0020628944788215735,0.019406138587963574,0.4745762711864407,-0.0385932150638032,0.05915775401069534,0.0012253120392099852,0.015028658480263565
